Date,Type,Name,Start,End,Duration
28/03/17,move,walking,2017-03-28T10:02:39+02:00,2017-03-28T10:12:18+02:00,579
28/03/17,place,Place in Kongens Lyngby,2017-03-28T10:12:19+02:00,2017-03-28T10:20:04+02:00,465
28/03/17,move,walking,2017-03-28T10:20:04+02:00,2017-03-28T10:23:03+02:00,179
28/03/17,place,Place in Kongens Lyngby,2017-03-28T10:23:04+02:00,2017-03-28T11:52:55+02:00,5391
28/03/17,move,walking,2017-03-28T11:52:55+02:00,2017-03-28T11:55:44+02:00,169
28/03/17,place,Place in Kongens Lyngby,2017-03-28T11:55:45+02:00,2017-03-28T12:06:22+02:00,637
28/03/17,place,Place in Kongens Lyngby,2017-03-28T12:06:22+02:00,2017-03-28T16:02:14+02:00,14152
28/03/17,move,walking,2017-03-28T16:02:14+02:00,2017-03-28T16:07:22+02:00,308
28/03/17,move,transport,2017-03-28T16:07:22+02:00,2017-03-28T16:40:09+02:00,1967
28/03/17,move,cycling,2017-03-28T16:40:09+02:00,2017-03-28T16:48:11+02:00,482
28/03/17,place,"Place in Indre By, København",2017-03-28T16:48:12+02:00,2017-03-28T19:19:12+02:00,9060
28/03/17,move,walking,2017-03-28T19:19:12+02:00,2017-03-28T19:21:54+02:00,162
28/03/17,move,transport,2017-03-28T19:21:54+02:00,2017-03-28T19:34:42+02:00,768
28/03/17,place,"Place in Amagerbro Station, København",2017-03-28T19:34:42+02:00,2017-03-28T19:50:11+02:00,929
28/03/17,move,transport,2017-03-28T19:50:11+02:00,2017-03-28T20:07:40+02:00,1049
28/03/17,move,cycling,2017-03-28T20:07:40+02:00,2017-03-28T20:10:51+02:00,191
28/03/17,place,"Place in Christianshavn, København",2017-03-28T20:10:52+02:00,2017-03-29T00:00:00+02:00,13748
29/03/17,place,"Place in Christianshavn, København",2017-03-29T00:00:00+02:00,2017-03-29T09:06:42+02:00,32802
29/03/17,move,cycling,2017-03-29T09:06:42+02:00,2017-03-29T09:13:40+02:00,418
29/03/17,move,transport,2017-03-29T09:13:40+02:00,2017-03-29T09:44:27+02:00,1847
29/03/17,move,walking,2017-03-29T09:44:28+02:00,2017-03-29T09:56:38+02:00,730
29/03/17,place,Place in Kongens Lyngby,2017-03-29T09:56:39+02:00,2017-03-29T16:45:28+02:00,24529
29/03/17,move,walking,2017-03-29T16:45:28+02:00,2017-03-29T16:48:53+02:00,205
29/03/17,move,cycling,2017-03-29T16:48:53+02:00,2017-03-29T16:54:22+02:00,329
29/03/17,place,Place in Kongens Lyngby,2017-03-29T16:54:23+02:00,2017-03-29T18:19:14+02:00,5091
29/03/17,move,cycling,2017-03-29T18:19:14+02:00,2017-03-29T18:30:30+02:00,676
29/03/17,place,Place in Kongens Lyngby,2017-03-29T18:30:31+02:00,2017-03-29T18:45:48+02:00,917
29/03/17,move,transport,2017-03-29T18:45:48+02:00,2017-03-29T19:29:33+02:00,2625
29/03/17,place,"Place in Christianshavn, København",2017-03-29T19:29:34+02:00,2017-03-30T00:00:00+02:00,16226
30/03/17,place,"Place in Christianshavn, København",2017-03-30T00:00:00+02:00,2017-03-30T08:13:17+02:00,29597
30/03/17,move,walking,2017-03-30T08:13:17+02:00,2017-03-30T08:17:10+02:00,233
30/03/17,move,cycling,2017-03-30T08:17:10+02:00,2017-03-30T08:27:39+02:00,629
30/03/17,place,"Place in Indre By, København",2017-03-30T08:27:40+02:00,2017-03-30T08:29:06+02:00,86
30/03/17,move,walking,2017-03-30T08:29:06+02:00,2017-03-30T08:34:23+02:00,317
30/03/17,place,"Place in Østerport, København",2017-03-30T08:34:24+02:00,2017-03-30T12:01:33+02:00,12429
30/03/17,place,"Place in Østerport, København",2017-03-30T12:01:34+02:00,2017-03-30T12:10:44+02:00,550
30/03/17,place,"Place in Indre By, København",2017-03-30T12:13:13+02:00,2017-03-30T12:45:40+02:00,1947
30/03/17,move,walking,2017-03-30T12:45:40+02:00,2017-03-30T12:54:47+02:00,547
30/03/17,place,"Place in Østerport, København",2017-03-30T12:54:48+02:00,2017-03-30T15:48:13+02:00,10405
30/03/17,move,running,2017-03-30T15:48:13+02:00,2017-03-30T15:55:28+02:00,435
30/03/17,place,"Place in Østerport, København",2017-03-30T15:55:29+02:00,2017-03-30T15:59:30+02:00,241
30/03/17,move,transport,2017-03-30T15:59:30+02:00,2017-03-30T20:07:14+02:00,14864
30/03/17,place,Aarhus Rutebilstation,2017-03-30T20:07:15+02:00,2017-03-30T21:25:25+02:00,4690
30/03/17,move,transport,2017-03-30T21:25:25+02:00,2017-03-30T22:42:35+02:00,4630
30/03/17,move,walking,2017-03-30T22:42:35+02:00,2017-03-30T22:51:29+02:00,534
30/03/17,place,European Film College,2017-03-30T22:51:30+02:00,2017-03-30T23:32:23+02:00,2453
30/03/17,place,Dormitory,2017-03-30T23:32:24+02:00,2017-03-31T00:00:00+02:00,1656
31/03/17,place,Dormitory,2017-03-31T00:00:00+02:00,2017-03-31T12:35:09+02:00,45309
