day,lat,lon
1.0,59.3831866835,24.7390734552
1.0,59.382490019,24.7398151371
1.0,59.3817933502,24.7405567885
1.0,59.3810966772,24.7412984095
1.0,59.3804,24.74204
1.0,59.3797700077,24.7427480526
1.0,59.3791400115,24.7434560789
1.0,59.3785100115,24.7441640789
1.0,59.3778800077,24.7448720526
1.0,59.37725,24.74558
1.0,59.37653,24.74642
1.0,59.37619,24.74679
1.0,59.3756233367,24.747456689
1.0,59.3750566701,24.7481233556
1.0,59.37449,24.74879
1.0,59.3739233364,24.7494133541
1.0,59.3733566697,24.7500366874
1.0,59.37279,24.75066
1.0,59.3721266699,24.7513133589
1.0,59.3714633366,24.7519666922
1.0,59.3708,24.75262
1.0,59.37085,24.75281
1.0,59.37048,24.75314
1.0,59.37039,24.7534
1.0,59.37032,24.75352
1.0,59.37024,24.75357
1.0,59.36995,24.75367
1.0,59.36949,24.75418
1.0,59.36923,24.7544
1.0,59.36863,24.75509
1.0,59.36857,24.7551
1.0,59.36831,24.7554
1.0,59.36795,24.756
1.0,59.36787,24.75617
1.0,59.36773,24.75635
1.0,59.36736,24.75694
1.0,59.36729,24.75713
1.0,59.36718,24.7572
1.0,59.36702,24.75744
1.0,59.36698,24.75763
1.0,59.36687,24.75768
1.0,59.3663250029,24.7585500139
1.0,59.36578,24.75942
1.0,59.3658,24.75957
1.0,59.36576,24.75965
1.0,59.3657,24.75971
1.0,59.36563,24.75967
1.0,59.3656,24.7597
1.0,59.36494,24.76074
1.0,59.36494,24.76095
1.0,59.36492,24.76101
1.0,59.36489,24.76105
1.0,59.36479,24.761
1.0,59.36475,24.76103
1.0,59.3640950041,24.7620700202
1.0,59.36344,24.76311
1.0,59.36338,24.76331
1.0,59.36333,24.76337
1.0,59.36325,24.7634
1.0,59.36311,24.7636
1.0,59.36303,24.76383
1.0,59.36292,24.76399
1.0,59.36284,24.76407
1.0,59.36276,24.76408
1.0,59.3623350014,24.764650007
1.0,59.36191,24.76522
1.0,59.36168,24.76561
1.0,59.36152,24.76579
1.0,59.36135,24.76603
1.0,59.36113,24.76631
1.0,59.3609,24.76655
1.0,59.3602900023,24.7673200138
1.0,59.35968,24.76809
1.0,59.35893,24.76884
1.0,59.3581925048,24.7694850421
1.0,59.3574550063,24.7701300561
1.0,59.3567175047,24.7707750421
1.0,59.35598,24.77142
1.0,59.3551850015,24.772020014
1.0,59.35439,24.77262
1.0,59.35428,24.77274
1.0,59.35416,24.77283
1.0,59.35398,24.77299
1.0,59.35376,24.77323
1.0,59.35367,24.77287
1.0,59.35305,24.77328
1.0,59.35243,24.77363
1.0,59.35176,24.77393
1.0,59.3512,24.7741
1.0,59.35085,24.77418
1.0,59.35038,24.77426
1.0,59.34974,24.77426
1.0,59.3488828572,24.7742342818
1.0,59.3480257143,24.7742085649
1.0,59.3471685715,24.7741828494
1.0,59.3463114286,24.7741571351
1.0,59.3454542857,24.7741314221
1.0,59.3445971429,24.7741057104
1.0,59.34374,24.77408
1.0,59.342885,24.7740499962
1.0,59.34203,24.774019994
1.0,59.341175,24.7739899932
1.0,59.34032,24.773959994
1.0,59.339465,24.7739299962
1.0,59.33861,24.7739
1.0,59.3379,24.77394
1.0,59.33708,24.77392
1.0,59.3362550001,24.773879999
1.0,59.33543,24.77384
1.0,59.33459,24.7738049991
1.0,59.33375,24.77377
1.0,59.33293,24.7737
1.0,59.3328,24.77369
1.0,59.33218,24.77356
1.0,59.3315350002,24.7733599962
1.0,59.33089,24.77316
1.0,59.3303950004,24.7729399969
1.0,59.3299,24.77272
1.0,59.32937,24.77245
1.0,59.3286400008,24.7719899901
1.0,59.32791,24.77153
1.0,59.3273800005,24.771089993
1.0,59.32685,24.77065
1.0,59.3262233358,24.7700833124
1.0,59.3255966691,24.7695166458
1.0,59.32497,24.76895
1.0,59.32486,24.76873
1.0,59.32483,24.7686
1.0,59.32478,24.76847
